"Tidstämpel","Gender","Age","Employment","What do you exercise?","How often do you workout? (days a week)","How much time do you spend on each workout?","Do you workout with a partner?","Why do you workout?"
"2018/03/07 3:51:34 em CET","Male","20-24","Student/Academics","Running","3-4","0-1 hours","No","Combination of above"
"2018/03/07 3:51:58 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 9:20:01 fm CET","Male","35-39","Other","Gym","1-2","1-2 hours","No","Health"
"2018/03/08 9:46:06 fm CET","Female","20-24","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","3-4","0-1 hours","Yes","Combination of above"
"2018/03/08 9:48:16 fm CET","Male","20-24","Student/Academics","Gym","3-4","1-2 hours","Yes","Combination of above"
"2018/03/08 9:50:10 fm CET","Male","25-29","Student/Academics","Running","3-4","0-1 hours","No","Health"
"2018/03/08 9:51:36 fm CET","Male","20-24","Student/Academics","Mix of exercises","3-4","1-2 hours","Yes","Combination of above"
"2018/03/08 9:52:34 fm CET","Male","20-24","Student/Academics","Running","1-2","0-1 hours","No","Health"
"2018/03/08 9:52:57 fm CET","Male","20-24","Service/Restaurant","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 9:53:19 fm CET","Female","20-24","Student/Academics","Other","1-2","0-1 hours","No","Health"
"2018/03/08 9:55:47 fm CET","Male","20-24","Student/Academics","Mix of exercises","1-2","1-2 hours","No","Combination of above"
"2018/03/08 9:56:31 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 9:56:47 fm CET","Male","20-24","IT/Tech/Engineering","Other","1-2","1-2 hours","Yes","Combination of above"
"2018/03/08 9:57:38 fm CET","Male","20-24","Service/Restaurant","Other","1-2","1-2 hours","No","Enjoyment"
"2018/03/08 9:59:56 fm CET","Male","20-24","Student/Academics","Gym","1-2","1-2 hours","No","Combination of above"
"2018/03/08 10:02:31 fm CET","Female","20-24","Student/Academics","Other","1-2","0-1 hours","No","Combination of above"
"2018/03/08 10:02:39 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 10:04:51 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 10:05:47 fm CET","Male","20-24","IT/Tech/Engineering","Gym","1-2","1-2 hours","No","Apperance"
"2018/03/08 10:11:13 fm CET","Female","25-29","Student/Academics","Mix of exercises","1-2","1-2 hours","No","Combination of above"
"2018/03/08 10:12:46 fm CET","Male","20-24","Economics/Busniess","Gym","0","1-2 hours","No","Apperance"
"2018/03/08 10:12:51 fm CET","Female","20-24","Economics/Busniess","Fitness classes (e.g. spinning, yoga, bodypump)","3-4","1-2 hours","No","Combination of above"
"2018/03/08 10:15:37 fm CET","Male","20-24","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 10:17:36 fm CET","Male","20-24","Student/Academics","Gym","3-4","1-2 hours","Yes","Combination of above"
"2018/03/08 10:18:10 fm CET","Male","40+","IT/Tech/Engineering","Running","1-2","1-2 hours","No","Combination of above"
"2018/03/08 10:18:20 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/08 10:22:21 fm CET","Male","25-29","Student/Academics","Other","1-2","1-2 hours","Yes","Health"
"2018/03/08 10:26:52 fm CET","Male","40+","IT/Tech/Engineering","Running","1-2","0-1 hours","No","Combination of above"
"2018/03/08 10:28:27 fm CET","Female","20-24","Healthcare/Medicine","Gym","1-2","1-2 hours","Yes","Combination of above"
"2018/03/08 10:29:33 fm CET","Male","20-24","Student/Academics","Gym","3-4","1-2 hours","No","Combination of above"
